Code,Municipio,Depto,Censo electoral,Participación/Total votos,Abstención,Ganador circunscripción nacional,Votos válidos (Nacional),Alianza Verde,Cambio Radical,Centro Democrático,MIRA,Partido Conservador,Partido de la U,Partido Liberal,Polo Democrático Alternativo,Opción Ciudadana,Voto en blanco (Nacional),Ganador circunscripción indígena,Votos válidos (Indígenas),AICO,ANIC,ASI,Asoc. Autoridades trad. y cabildos indígenas de Colombia,Cabildo Resg. de Calderas,Cabildo San Sebastián de los Lagos,Comunidad de Barrancon,Corp. Indígena Yanacona,Dignidades agropecuarias indígenas,MAIS,Multietnia Colombia,OPIAC,OPIC,Renovación étnica de Colombia,Voto en blanco (Indígenas),Votos válidos (todas las circunscripciones),Votos inválidos,Votos Nulos,Tarjetones No Marcados,%Participación,%Abstención,%Válidos (Nacional),%Alianza Verde,%Cambio Radical,%Centro Democrático,%MIRA,%Partido Conservador,%Partido de la U,%Partido Liberal,%Polo Democrático Alternativo,%Opción Ciudadana,%Blancos (Nacional),%Válidos (Indígenas),%AICO,%ANIC,%ASI,%Asoc. Autoridades trad. y cabildos indígenas de Colombia,%Cabildo Resg. de Calderas,%Cabildo San Sebastián de los Lagos,%Comunidad de Barrancon,%Corp. Indígena Yanacona,%Dignidades agropecuarias indígenas,%MAIS,%Multietnia Colombia,%OPIAC,%OPIC,%Renovación étnica de Colombia,%Blancos (Indígenas),%Válidos (Todas las circunscripciones),%Votos inválidos,%Votos Nulos,%Tarjetones No Marcados
68720,Santa Helena del Opón,Santander,2997,1332,1665,Opción Ciudadana,1116,4,127,41,1,41,36,152,11,658,45,Voto en Blanco,17,,,1,,,,,,,,1,1,,2,12,1133,199,94,105,44.44,55.56,83.78,0.36,11.38,3.67,0.09,3.67,3.23,13.62,0.99,58.96,4.03,1.28,0,0,5.88,0,0,0,0,0,0,0,5.88,5.88,0,11.76,70.59,85.06,14.94,7.06,7.88
68745,Simacota,Santander,5713,2728,2985,Partido Liberal,2286,17,197,294,8,70,152,814,37,602,95,Voto en Blanco,25,2,,6,,,,,1,,1,1,1,,,13,2311,417,242,175,47.75,52.25,83.8,0.74,8.62,12.86,0.35,3.06,6.65,35.61,1.62,26.33,4.16,0.92,8,0,24,0,0,0,0,4,0,4,4,4,0,0,52,84.71,15.29,8.87,6.41
68755,Socorro,Santander,21935,11531,10404,Partido Liberal,10089,90,495,1176,292,920,1116,3431,229,1613,727,Voto en Blanco,145,2,2,9,2,,,3,,,4,2,4,1,4,112,10234,1297,1009,288,52.57,47.43,87.49,0.89,4.91,11.66,2.89,9.12,11.06,34.01,2.27,15.99,7.21,1.26,1.38,1.38,6.21,1.38,0,0,2.07,0,0,2.76,1.38,2.76,0.69,2.76,77.24,88.75,11.25,8.75,2.5
68770,Suaita,Santander,8150,4090,4060,Opción Ciudadana,3495,16,71,103,9,80,89,1351,35,1659,82,Voto en Blanco,34,,1,1,,2,,1,,,1,2,,,1,25,3529,561,274,287,50.18,49.82,85.45,0.46,2.03,2.95,0.26,2.29,2.55,38.66,1,47.47,2.35,0.83,0,2.94,2.94,0,5.88,0,2.94,0,0,2.94,5.88,0,0,2.94,73.53,86.28,13.72,6.7,7.02
68773,Sucre,Santander,5971,2664,3307,Opción Ciudadana,2166,6,263,194,7,157,164,469,27,827,52,Voto en Blanco,18,,,4,,1,,1,,,2,,1,,1,8,2184,480,264,216,44.62,55.38,81.31,0.28,12.14,8.96,0.32,7.25,7.57,21.65,1.25,38.18,2.4,0.68,0,0,22.22,0,5.56,0,5.56,0,0,11.11,0,5.56,0,5.56,44.44,81.98,18.02,9.91,8.11
68780,Suratá,Santander,2802,1609,1193,Cambio Radical,1331,15,363,140,3,328,8,98,26,312,38,Voto en Blanco,8,1,,2,,,,,,,1,1,,,,3,1339,270,173,97,57.42,42.58,82.72,1.13,27.27,10.52,0.23,24.64,0.6,7.36,1.95,23.44,2.85,0.5,12.5,0,25,0,0,0,0,0,0,12.5,12.5,0,0,0,37.5,83.22,16.78,10.75,6.03
68820,Tona,Santander,4893,2521,2372,Partido Liberal,2064,10,120,138,1,113,46,1145,21,367,103,Voto en Blanco,40,,3,3,,2,,,,1,2,2,2,,1,24,2104,417,260,157,51.52,48.48,81.87,0.48,5.81,6.69,0.05,5.47,2.23,55.47,1.02,17.78,4.99,1.59,0,7.5,7.5,0,5,0,0,0,2.5,5,5,5,0,2.5,60,83.46,16.54,10.31,6.23
68855,Valle de San José,Santander,4296,2588,1708,Opción Ciudadana,2182,8,149,113,3,136,102,727,61,765,118,Voto en Blanco,25,,1,4,,,,,,,,2,1,,,17,2207,381,219,162,60.24,39.76,84.31,0.37,6.83,5.18,0.14,6.23,4.67,33.32,2.8,35.06,5.41,0.97,0,4,16,0,0,0,0,0,0,0,8,4,0,0,68,85.28,14.72,8.46,6.26
68861,Vélez,Santander,15907,7409,8498,Partido Liberal,5943,89,190,415,168,433,160,2108,166,1733,481,Voto en Blanco,120,,6,4,,1,,,,3,4,2,2,,1,97,6063,1346,788,558,46.58,53.42,80.21,1.5,3.2,6.98,2.83,7.29,2.69,35.47,2.79,29.16,8.09,1.62,0,5,3.33,0,0.83,0,0,0,2.5,3.33,1.67,1.67,0,0.83,80.83,81.83,18.17,10.64,7.53
68867,Vetas,Santander,1435,744,691,Opción Ciudadana,614,2,38,87,2,130,11,12,17,268,47,Voto en Blanco,13,1,1,1,,,,,,,1,,1,,1,7,627,117,82,35,51.85,48.15,82.53,0.33,6.19,14.17,0.33,21.17,1.79,1.95,2.77,43.65,7.65,1.75,7.69,7.69,7.69,0,0,0,0,0,0,7.69,0,7.69,0,7.69,53.85,84.27,15.73,11.02,4.7
